YC,YD,OC,OD,Comments
24.85184718,,11.80124224,30.43478261,
12.40506329,8.370044053,36.15462355,22.44008715,
30.14354067,33.33333333,-22.43589744,45.25139665,
,-7.945205479,1.369863014,20.49689441,
47.21,55.94,15.03,27.5,
46.99,65.9,16.95,45.19,
73.86,39.16,-0.19,22.5,
-3.79,,40.75,38.61,3c replacing 3a
53.41,23.72,-15,60.58,
46.72,15.74,18.31,94.69,
20.36,6.89,16.67,-30.14,
-21.78,15.32,-5.93,8.48,
59.22,59.3,5.54,0,
,61.98,11.58,11.27,
29.33,-1.43,-1.43,66.83,
16.79,68.78,34.11,34.85,
50,11.11,-10.35,27.64,
16.67,5.88,-20.96,35.96,
